group1,group2,channel,description
2 Fermion,,DSSI,B decays with D0 -->K- pi+ pi0                    Gas 93D   ; BAST
2 Fermion,,DSSJ,B decays with D0 -->K- l+ nu                      Gas 93D   ; BAST
2 Fermion,,DSSK,B decays with D+ -->K- pi+ l+ nu                  Gas 93D   ; BAST
2 Fermion,,DSTD,ShortDST D decays with D-->tau nu and D-->mu nu            ; BAST
2 Fermion,,DSUC,ShortDST ccbar ->D**0 + X -> D*+ pi- + X -->(k-pi+(pi0))pi+ pi-X
2 Fermion,,DSVB,ShortDST bbbar ->D**0+ X -> D*+ pi- + X ->(k-pi+(pi0))pi+pi-X;BAST 
2 Fermion,,DSWC,ShortDST ccbar->D*+' + X->D*+ pi-pi+ X ->(k-pi+(pi0))pi+ pi-pi+ X
2 Fermion,,DSXC,ShortDST bbbar ->D*+'+ X ->D*+ pi-pi+ X ->(k-pi+(pi0))pi+pi-pi+ X 
2 Fermion,,DYMU,LongDST mu+mu- (DYMU3     ); Sim. of 95B- DELANA(liq) Fix 1 ; RUTH
4 Fermion,,EEEE,LongDST e+e- --> e e e e                                    ;RUTH
EEGG,,EEGG,LongDST e+e- -> gam gam (QED);Sim. of 95C DELANA(liq) Fix 2 ; RUTH
4 Fermion,,EEMM,LongDST e+e- --> e e mu mu                                  ;RUTH
2 Fermion,,EEPY,LongDST e+e- -> e+e-       ; Sim. of 95B- DELANA(liq) Fix 1 ; RUTH
4 Fermion,,EEQQ,LongDST e+e- --> e e q q                                    ;RUTH
4 Fermion,,EETT,LongDST e+e- --> e e tau tau                                ;RUTH
4 Fermion,,EEVE,LongDST e+e- --> e e nue nuebar                             ;RUTH
4 Fermion,,EEVM,LongDST e+e- --> e e numu numubar                           ;RUTH
2 Fermion,,EEVT,LongDST e+e- --> e e nutau nutaubar                         ;RUTH
2 Fermion,,EMG2,XShortDST e+e- -> mu+ mu- e+ e-     GRC4F + JETSET 7.409     FARM; 
2 Fermion,,EMGR,XShortDST e+e- -> mu+ mu- e+ e-     GRC4F + JETSET 7.409     FARM; 
2 Fermion,,ETGR,XShortDST e+e- -> tau+ tau- e+ e-   GRC4F + JETSET 7.409     FARM; 
2 Fermion,,EVEV,XShortDST e+ e- --> evev                                     MILA;
2 Fermion,,EVMV,XShortDST e+e- -> e v m v                                    MILA; 
2 Fermion,,EVQQ,LongDST e+e- --> ev q qbar   ;  Sim. 95C DELANA(liq) Fix 2 ; RUTH
2 Fermion,,EVTV,XShortDST e+e- -> e v t v                                    MILA; 
Higgs,,EX201TAUBBBB,"Extended Short DST simulation 99_a1 done at ecms=206.7 , CERN"
Higgs,,EX202TAUBBBB,"Extended Short DST simulation 99_a1 done at ecms=206.7 , CERN"
Higgs,,EX202TAUCORBBBB,"Extended Short DST simulation 99_a1 done at ecms=206.7 , CERN"
2 Fermion,,EXCAL,mass production during the jeune genevois 2000  simulation   
2 Fermion,,FFPY,LongDST e+e- -> Z0 + gamma ; Sim. of 95B- DELANA(liq) Fix 1 ; RUTH
2 Fermion,,GAMS,"LongDST Compton, e e --> nu nubar + gamma:     ANA96E Fix 1 ; RUTH"
Higgs,,GG1T,"XShortDST gamma gamma -> hadrons, TWOGAM_2 SINGLE TAG         RAL; "
