group1,group2,channel,description
Susy,,SUSYGEN212CHASNU_E207,"Full DST/Delana output simulation 99_a 207 , CERN"
2 Fermion,,TAUJ,ShortDST e+e- --> Z0 --> tau+ tau-  liq  rep. with92_E Fix 2 ;KARL
TechniColor,,TCPPPY,"TechniColor signal samples, m=50GeV Extended Short DST simulation 99_a1 200 , Santander"
TechniColor,,TCWPPY,"Extended Short DST simulation 99_a1 200 , Santander"
2 Fermion,,TE11,"Z0->bbbar -> Lambda_b X, Lambda_b -> Lambda0 psi->eeou mumu  ;RUTH"
Higgs,,TEEGG71CMPT,Extended Short DST simulation 97g1 done at ecms=183.5 
Higgs,,TEEGG71HARD,"Extended Short DST simulation 98e  done at ecm=188.6 GeV , CERN"
Higgs,,TEEGG71SOFT,"Extended Short DST simulation 98e  done at ecm=188.6 GeV , CERN"
Higgs,,TNTN,XShortDST e+e- --> H+H- --> taunutaunu    HZHA03             SACL; 
2 Fermion,,TOPC,XShortDST e+e- --> t cbar                                     RAL;    
2 Fermion,,TOTO,LongDST tau+tau- (KORALZ40); Sim. of 94 (liq) ANA94B Fix 3  ; FARM
2 Fermion,,TTHI,"LongDST Tau pairs, one tau with high-mult. decays; ANA93C F1; FARM"
2 Fermion,,TTHN,LongDST tau+tau- high multipl.negative (liq); ANA94B Fix 3  ; FARM
2 Fermion,,TTHP,LongDST tau+tau- high multipl.positive (liq); ANA94B Fix 3  ; FARM
2 Fermion,,TTPY,"LongDST Z0Gamma, Z0 -> tau+ tau-               ANA96E Fix 1 ; RUTH"
2 Fermion,,TTQQ,LongDST e+e- --> tau+tau- q qbar;Sim.95C DELANA(liq) Fix 2 ; RUTH
Higgs,,TTZ,"ShortDST HZHA03  e+e- --> HZ (H ->  tau+tau- Z -> q qbar) Extended Short DST simulation 99_a1 done at ecms=191.6 , CERN"
2 Fermion,,TVEV,"XShortDST e+e- -> W W, one W-->tau nu and the other W->e nu   RAL; "
2 Fermion,,TVMV,"XShortDST e+ e- --> W W, one W-->tau nu & the other W->mu nu  RAL; "
2 Fermion,,TVQQ,LongDST e+e- --> tauv q qbar ;  Sim. 95C DELANA(liq) Fix 2 ; RUTH
2 Fermion,,TVTV,"XShortDST e+ e- --> W W, both W --> tau nu                    RAL; "
2 Fermion,,VVKZ,XShortDST e+ e- --> nu nubar + gamma KORALZ 4.02              RAL; 
2 Fermion,,VVQQ,LongDST e+e- --> vv q qbar   ;  Sim. 95C DELANA(liq) Fix 2 ; RUTH
DontKnow,,WANDY2MVUD,"Extended Short DST simulation 98e1 done at ecms=188.6 , CERN"
DontKnow,,WANDY3MVUD,"Extended Short DST simulation 98e1 done at ecms=188.6 , CERN"
DontKnow,,WANDY3MVUD24,"Extended Short DST simulation 98e  done at ecm=188.6 GeV , CERN"
DontKnow,,WANDY3SCUD,"Extended Short DST simulation 98e1 done at ecms=188.6 , CERN"
DontKnow,,WANDY4MVUD,"Extended Short DST simulation 98e1 done at ecms=188.6 , CERN"
2 Fermion,,WCB1,XShortDST ALEPH generated WW Bose-Einstein Coorelated events SNAK;
2 Fermion,,WCBA,XShortDST ALEPH generated WW Bose-Einstein Coorelated events SNAK;
2 Fermion,,WENU,XShortDST  e+e- --> W e nu by PYTHIA5.722+JETSET7.409        SACL;
2 Fermion,,WEPY,LongDST e+e- -> Wenu       ; Sim. of 95B- DELANA(liq) Fix 1 ; RUTH
4 Fermion,,WPHA,LongDST e+e- -> qq~ l+l- (WPHACT generator)    ANA97A Fix 1 ; GENO
4 Fermion,,WPHACT20CC,"Extended Short DST simulation 99_a1 done at ecms=206.7 , CERN"
4 Fermion,,WPHACT20CCFIXED,"Xshort dst bug fixed sample wphact20 cc Extended Short DST simulation a0_e1 done at ecms=203.7 , Lyon"
4 Fermion,,WPHACT20CC_E206.7_M80.35,"Full DST/Delana output simulation 99_a done at ecms=206.7 , CERN"
4 Fermion,,WPHACT20FWBBBB,"Extended Short DST simulation 99_a1 done at ecms=206.7 , CERN"
4 Fermion,,WPHACT211NCGG,"Extended Short DST simulation 98_e1 done at ecms=188.6 , CERN"
4 Fermion,,WPHACT211NCGGTEST,"Extended Short DST simulation a0_e1 done at ecms=206.5 , CERN"
4 Fermion,,WPHACT21ARCC,"Extended Short DST simulation a0_e1 done at ecms=206.5 , Lyon"
4 Fermion,,WPHACT21ARCCCR,"Extended Short DST simulation a0_e1 done at ecms=206.5 , Lyon"
4 Fermion,,WPHACT21CC,"Extended Short DST simulation 97_g1 done at ecms=182.7 , Lyon"
4 Fermion,,WPHACT21CCT1,"Extended Short DST simulation 98e1 done at ecms=188.6 , Lyon"
4 Fermion,,WPHACT21CCT1BE32EI,"Extended Short DST simulation 98e1 done at ecms=188.6 , Lyon"
4 Fermion,,WPHACT21CCT2,"Extended Short DST simulation 98e1 done at ecms=188.6 , Lyon"
4 Fermion,,WPHACT21CCT2BE32GI,"Extended Short DST simulation 98e1 done at ecms=188.6 , Lyon"
4 Fermion,,WPHACT21HWCC,"Extended Short DST simulation 98_e1 done at ecms=188.6 , Lyon"
4 Fermion,,WPHACT21NC4F,"Extended Short DST simulation 97_g1 done at ecms=182.7 , CERN"
4 Fermion,,WPHACT21NCGG,"Extended Short DST simulation a0_e1 done at ecms=206.5 , CERN"
4 Fermion,,WPHACT21TGCCQQEV,"Extended Short DST simulation a0_e1 done at ecms=206.5 , CERN"
4 Fermion,,WPHACT21TGCCQQMV,"Extended Short DST simulation a0_e1 done at ecms=206.5 , CERN"
4 Fermion,,WPHACT21TGCCQQQQ,"Extended Short DST simulation a0_e1 done at ecms=206.5 , CERN"
4 Fermion,,WPHACT22CC,"Extended Short DST simulation 98_e1 done at ecms=188.6 , Lyon"
4 Fermion,,WPHACT22CCBE32A,"Extended Short DST simulation 97_g1 done at ecms=182.7 , CERN"
4 Fermion,,WPHACT22CCBE32A1,"Extended Short DST simulation 99_e1 done at ecms=199.5 , CERN"
4 Fermion,,WPHACT22CCBE32I,"Extended Short DST simulation 97g1 done at ecms=182.7 , CERN"
4 Fermion,,WPHACT22CCBE32I1,"Extended Short DST simulation 99e1 done at ecms=199.5 , CERN"
4 Fermion,,WPHACT22CCSK1,"Extended Short DST simulation 98_e1 done at ecms=188.6 , Lyon"
4 Fermion,,WPHACT22NC4F,"Extended Short DST simulation a0u1 205 , Lyon"
4 Fermion,,WPHACT23CC,"Extended Short DST simulation 98e  done at ecm=188.6 GeV , CERN"
4 Fermion,,WPHACT23CCSK1,"Extended Short DST simulation 98e  done at ecm=188.6 GeV , CERN"
4 Fermion,,WPHACT23CCSK1ICR1,"Extended Short DST simulation a0e  done at ecm=206.5 GeV , CERN"
4 Fermion,,WPHACT23CCSK1ICR1_E206.5_M80.4,"Full DST/Delana output simulation a0e  done at ecm=206.5 GeV , CERN"
4 Fermion,,WPHACT23CCSK1_E188.6_M80.4,"Full DST/Delana output simulation 98e  done at ecm=188.6 GeV , CERN"
4 Fermion,,WPHACT23CCSK1_E199.5_M80.4,"Full DST/Delana output simulation 99e  done at ecm=199.5 GeV , CERN"
4 Fermion,,WPHACT23CCSK1_E206.5_M80.4,"Full DST/Delana output simulation a0e  done at ecm=206.5 GeV , CERN"
4 Fermion,,WPHACT23CC_E188.6_M80.4,"Full DST/Delana output simulation 98e  done at ecm=188.6 GeV , CERN"
4 Fermion,,WPHACT23CC_E206.5_M80.4,"Full DST/Delana output simulation a0e  done at ecm=206.5 GeV , CERN"
4 Fermion,,WPHACT23MMMM,"Short DST simulation 95d2 done at ecms=91.25 , CERN"
4 Fermion,,WPHACT23MMTT,"Short DST simulation 94c2 done at ecms=91.25 , CERN"
4 Fermion,,WPHACT20BBBB,"Extended Short DST simulation 99_a1 done at ecms=206.7 , CERN"
4 Fermion,,WPHACT23TTTT,"Short DST simulation 94c2 done at ecms=91.25 , CERN"
4 Fermion,,WPHACT244Q,"Extended Short DST simulation 98e  done at ecm=188.6 GeV , CERN"
4 Fermion,,WPHACT244QSK1,"Extended Short DST simulation 99e  done at ecm=199.5 GeV , CERN"
4 Fermion,,WPHACT244QSK1_E188.6_M80.4,"Full DST/Delana output simulation 98e  done at ecm=188.6 GeV , CERN"
4 Fermion,,WPHACT244QSK1_E199.5_M80.4,"Full DST/Delana output simulation 99e  done at ecm=199.5 GeV , CERN"
4 Fermion,,WPHACT244QSK1_E206.5_M80.4,"Full DST/Delana output simulation a0e  done at ecm=206.5 GeV , CERN"
4 Fermion,,WPHACT244Q_E188.6_M80.4,"Full DST/Delana output simulation 98e  done at ecm=188.6 GeV , CERN"
4 Fermion,,WPHACT244Q_E199.5_M80.4,"Full DST/Delana output simulation 99e  done at ecm=199.5 GeV , CERN"
4 Fermion,,WPHACT244Q_E206.5_M80.4,"Full DST/Delana output simulation a0e  done at ecm=206.5 GeV , CERN"
4 Fermion,,WPHACT24CC,"Extended Short DST simulation 97g  done at ecm=182.7 GeV , CERN"
4 Fermion,,WPHACT24CC_E182.7_M80.4,"Full DST/Delana output simulation 97g  done at ecm=182.7 GeV , CERN"
4 Fermion,,WPHACT24CC_E188.6_M80.4,"Full DST/Delana output simulation 98e  done at ecm=188.6 GeV , CERN"
4 Fermion,,WPHACT24CC_E191.6_M80.4,"Full DST/Delana output simulation 99e  done at ecm=191.6 GeV , CERN"
4 Fermion,,WPHACT24CC_E195.5_M80.4,"Full DST/Delana output simulation 99e  done at ecm=195.5 GeV , CERN"
4 Fermion,,WPHACT24CC_E199.5_M80.4,"Full DST/Delana output simulation 99e  done at ecm=199.5 GeV , CERN"
4 Fermion,,WPHACT24CC_E201.6_M80.4,"Full DST/Delana output simulation 99e  done at ecm=201.6 GeV , CERN"
4 Fermion,,WPHACT24CC_E205_M80.4,"Full DST/Delana output simulation a0e  done at ecm=205 GeV , CERN"
4 Fermion,,WPHACT24CC_E206.5_M80.4,"Full DST/Delana output simulation a0e  done at ecm=206.5 GeV , CERN"
4 Fermion,,WPHACT4BTESTCC,"Extended Short DST simulation 99_a1 done at ecms=206.7 , CERN"
4 Fermion,,WPHACT4BTESTCC_E206.7_M80.35,"Full DST/Delana output simulation 99_a done at ecms=206.7 , CERN"
2 Fermion,,WWAR,LongDST e+e- --> W+W- with ARIADNE             ANA96E Fix 1 ; RUTH
2 Fermion,,WWBE,LongDST e+e- --> W+W- with Bose-Einstein on    ANA96E Fix 1 ; RUTH
2 Fermion,,WWC1,"XShortDST OPAL generated blind TGC events, EXALIBUR sample   FARM;"
2 Fermion,,WWC2,"XShortDST OPAL generated blind TGC events, EXALIBUR sample   FARM;"
2 Fermion,,WWC3,"XShortDST OPAL generated blind TGC events, EXALIBUR sample   FARM;"
2 Fermion,,WWCC,XShortDST ALEPH generated WW Colour Reconection events       SNAK;
2 Fermion,,WWCH,XShortDST ALEPH generated WW  Not Colour Reconection events  SNAK;
2 Fermion,,WWCJ,"XShortDST ALEPH generated KORALW CC03 events,JETSET sample   FARM;"
2 Fermion,,WWEX,XShortDST e+e- -> W+W- (chan-4) mW=80.35;Sim.97 ANA97A Fix 1 ;RUTH
2 Fermion,,WWEX201,"XSHORT WW like Excalibur events, version 201. Reprocessed from raw simulation Extended Short DST simulation 00_s1 200 , CERN, Feb. 2000 US"
2 Fermion,,WWEX201TAU,"Extended Short DST simulation 99_a1 done at ecms=206.7 , CERN"
2 Fermion,,WWEX202B1,"Excalibur version 202 ww with full BE (MSTJ(53) = 0) Extended Short DST simulation 99_a1 200 , CERN             Jan 2000 US"
2 Fermion,,WWEX202B2,"Excalibur version 202 ww with BE (MSTJ(53) = 1) Extended Short DST simulation 99a1 200 , CERN            Jan 2000 US"
2 Fermion,,WWEX202BE32F,"Extended Short DST simulation 99_a1 189 , RAL"
2 Fermion,,WWEX202BE32F09,"Extended Short DST simulation 99_a1 189 , RAL"
2 Fermion,,WWEX202BE32F09_E189,"Full DST/Delana output simulation 99_a 189 , RAL"
2 Fermion,,WWEX202BE32F_E189,"Full DST/Delana output simulation 99_a 189 , RAL"
2 Fermion,,WWEX202BE32F_E200,"Full DST/Delana output simulation 99_a 200 , RAL"
2 Fermion,,WWEX202BE32F_E206,"Full DST/Delana output simulation 99_a 206 , RAL"
2 Fermion,,WWEX202BE32I,"Extended Short DST simulation 99_a1 189 , RAL"
2 Fermion,,WWEX202BE32I_E189,"Full DST/Delana output simulation 99_a 189 , RAL"
2 Fermion,,WWEX202BE32I_E200,"Full DST/Delana output simulation 99_a 200 , RAL"
2 Fermion,,WWEX202BE32I_E206,"Full DST/Delana output simulation 99_a 206 , RAL"
2 Fermion,,WWHR,LongDST e+e- --> W+ W-  HERWIG5.8d Delphi Tune;ANA96E Fix 1 ; RUTH
2 Fermion,,WWKW,XShortDST  e+e- --> WW-like by KORALW 1.41   MW=80.35        SACL;
2 Fermion,,WWKZ,e+e- --> W+W- like  KORALZ1.41                                RAL;     
2 Fermion,,WWPY,LongDST e+e- -> W+ W-      ; Sim. of 95B- DELANA(liq) Fix 1 ; RUTH
2 Fermion,,WWPY6125VCB,"XSHORT WW pythia, version 6.125, WW->(any)(cb),xsec=2.085D-11 mb  Extended Short DST simulation 99_a1 done at ecms=206.7 "
2 Fermion,,WWSH,"LongDST e+e- -> W+W- (W->anything), VD shaken  ANA96E Fix 1 ; RUTH"
2 Fermion,,YFSWW16LPAAMVUD,"Extended Short DST simulation 98e1 done at ecms=188.6 , CERN"
2 Fermion,,YFSWW16LPABMVUD,"Extended Short DST simulation 98e1 done at ecms=188.6 , CERN"
2 Fermion,,YFSWW16LPABSCUD,"Extended Short DST simulation 98e1 done at ecms=188.6 , CERN"
2 Fermion,,ZEGR,XShortDST e+e- -> Z e e GRC4F + JETSET 7.409 Delphi tune     MILA; 
2 Fermion,,ZEPY,LongDST e+e- -> Ze+e-      ; Sim. of 95B- DELANA(liq) Fix 1 ; RUTH
2 Fermion,,ZGAR,"LongDST Z0Gamma, Z0->qqbar with tuned ARIADNE  ANA96E Fix 1 ; RUTH"
2 Fermion,,ZGAR6156,"Extended Short DST simulation a0_e1 done at ecms=206.5 , CERN"
2 Fermion,,ZGPY,"LongDST Z0 gamma, Z0 -->qqbar  Sim. of 96      ANA96E Fix 1 ; BAST"
2 Fermion,,ZGPY6125,"Extended Short DST simulation 99_e1 done at ecms=91.25 , CERN"
2 Fermion,,ZGPY6156,"Extended Short DST simulation 99_a1 done at ecms=206.7 , CERN"
2 Fermion,,ZGPY6156B1,XshortDST Z0Gamma (special QCD + BE tuning) PYTHIA6156 generator  Cern Extended Short DST simulation  189 
2 Fermion,,ZGPY6156B2,"Extended Short DST simulation 99_a1 189 , CERN"
2 Fermion,,ZGPY6156B3,"Extended Short DST simulation 99_a1 189 , CERN"
2 Fermion,,ZGPY6156B3_E189,"Full DST/Delana output simulation 99_a 189 , CERN"
2 Fermion,,ZGPY6156B3_E200,"Full DST/Delana output simulation 99_a 200 , CERN"
2 Fermion,,ZGPY6156B3_E91.25,"Full DST/Delana output simulation 99_a done at ecms=91.25 , CERN"
2 Fermion,,ZGPY6156BAFIX,"Extended Short DST simulation 99_a1 done at ecms=91.25 , Lyon"
2 Fermion,,ZGPY6156BAFIX_E91.25,"Full DST/Delana output simulation 99_a done at ecms=91.25 , Lyon"
2 Fermion,,ZGPY6156L1TEST,"Extended Short DST simulation 99_a1 done at ecms=91.25 , CERN"
2 Fermion,,ZGPY6156L1TEST_E91.25,"Full DST/Delana output simulation 99_a done at ecms=91.25 , CERN"
2 Fermion,,ZGPY6156L2TEST,"Extended Short DST simulation 99_a1 done at ecms=91.25 , Lyon"
2 Fermion,,ZGPY6156L3TEST,"Extended Short DST simulation 99_a1 done at ecms=91.25 , CERN"
2 Fermion,,ZGPY6156_E206.7,"Full DST/Delana output simulation 99_a done at ecms=206.7 , CERN"
2 Fermion,,ZGPY6156_E91.25,"Full DST/Delana output simulation 99_a done at ecms=91.25 , CERN"
2 Fermion,,ZZPW,LongDST e+ e- -> ZZ (low mass photon cutoff)   ANA96E Fix 1 ; BAST
2 Fermion,,ZZPY,LongDST e+e- -> ZZ         ; Sim. of 95B- DELANA(liq) Fix 1 ; RUTH
2 Fermion,,ZZPY6156,"Extended Short DST simulation a0e1 done at ecms=206.5 , RAL"
